year,fascia,lo_eur,hi_eur,freq
2017,0_10k,0,10000,11998615
2017,10_15k,10000,15000,5601339
2017,15_26k,15000,26000,12182859
2017,26_55k,26000,55000,8598408
2017,55_75k,55000,75000,867347
2017,75_120k,75000,120000,633259
2017,over_120k,120000,250000,298605
2018,0_10k,0,10000,11844638
2018,10_15k,10000,15000,5554359
2018,15_26k,15000,26000,12253566
2018,26_55k,26000,55000,9045361
2018,55_75k,55000,75000,916653
2018,75_120k,75000,120000,670269
2018,over_120k,120000,250000,321800
2019,0_10k,0,10000,11748122
2019,10_15k,10000,15000,5435971
2019,15_26k,15000,26000,12198332
2019,26_55k,26000,55000,9264500
2019,55_75k,55000,75000,917385
2019,75_120k,75000,120000,676713
2019,over_120k,120000,250000,320771
2020,0_10k,0,10000,11871740
2020,10_15k,10000,15000,5388228
2020,15_26k,15000,26000,11953001
2020,26_55k,26000,55000,9007457
2020,55_75k,55000,75000,885355
2020,75_120k,75000,120000,675277
2020,over_120k,120000,250000,315578
2021,0_10k,0,10000,11360246
2021,10_15k,10000,15000,5289062
2021,15_26k,15000,26000,12131672
2021,26_55k,26000,55000,9610390
2021,55_75k,55000,75000,959525
2021,75_120k,75000,120000,741524
2021,over_120k,120000,250000,371831
2022,0_10k,0,10000,10766031
2022,10_15k,10000,15000,5180745
2022,15_26k,15000,26000,12284682
2022,26_55k,26000,55000,10494971
2022,55_75k,55000,75000,1044818
2022,75_120k,75000,120000,807923
2022,over_120k,120000,250000,429857
2023,0_10k,0,10000,10128646
2023,10_15k,10000,15000,4848620
2023,15_26k,15000,26000,11905810
2023,26_55k,26000,55000,12013286
2023,55_75k,55000,75000,1136661
2023,75_120k,75000,120000,865031
2023,over_120k,120000,250000,350285
2024,0_10k,0,10000,9646506
2024,10_15k,10000,15000,4592413
2024,15_26k,15000,26000,11444351
2024,26_55k,26000,55000,13319455
2024,55_75k,55000,75000,1239109
2024,75_120k,75000,120000,932460
2024,over_120k,120000,250000,372337
