codice_istat,totale_delitti,anno
0000IT,5448282,2024
000ITC,1643302,2024
000ITD,1032932,2024
000ITE,1296062,2024
000ITF,1016349,2024
000ITG,459637,2024
001272,178811,2024
002158,4375,2024
003106,11514,2024
004078,5918,2024
005005,8133,2024
006003,8421,2024
007003,2854,2024
008031,4209,2024
009056,6802,2024
00ITC1,430654,2024
00ITC2,7432,2024
00ITC3,153190,2024
00ITC4,1052026,2024
00ITD1,39784,2024
00ITD2,35255,2024
00ITD3,403315,2024
00ITD4,83988,2024
00ITD5,470553,2024
00ITDA,75076,2024
00ITE1,393917,2024
00ITE2,67380,2024
00ITE3,88714,2024
00ITE4,746051,2024
00ITF1,87344,2024
00ITF2,18385,2024
00ITF3,495669,2024
00ITF4,279118,2024
00ITF5,25334,2024
00ITF6,110499,2024
00ITG1,367148,2024
00ITG2,92489,2024
010025,71050,2024
011015,8785,2024
012133,8437,2024
013075,10034,2024
014061,2057,2024
015146,330176,2024
016024,20141,2024
017029,28101,2024
018110,12857,2024
019036,7940,2024
020030,6955,2024
021008,18900,2024
022205,12248,2024
023091,39561,2024
024116,15459,2024
025006,2720,2024
026086,7977,2024
027042,54107,2024
028060,35457,2024
029041,5323,2024
030129,12480,2024
031007,2821,2024
032006,20104,2024
033032,12163,2024
034027,26574,2024
035033,22838,2024
036023,30111,2024
037006,89792,2024
038008,17370,2024
039014,16107,2024
040012,11193,2024
041044,7797,2024
042002,8446,2024
043023,2494,2024
044007,3472,2024
045010,6888,2024
046017,8226,2024
047014,8085,2024
048017,100765,2024
049009,20802,2024
050026,17717,2024
051002,9584,2024
052032,5099,2024
053011,8131,2024
054039,19220,2024
055032,11227,2024
056059,5954,2024
057059,3833,2024
058091,520985,2024
059011,14899,2024
060038,5573,2024
061022,8940,2024
062008,4944,2024
063049,138628,2024
064008,5611,2024
065116,16380,2024
066049,5388,2024
067041,4057,2024
068028,14771,2024
069022,4606,2024
070006,3962,2024
071024,18365,2024
072006,33143,2024
073027,15356,2024
074001,7011,2024
075035,10983,2024
076063,3247,2024
077014,4122,2024
078045,6504,2024
079023,8890,2024
080063,14368,2024
081021,5414,2024
082053,80707,2024
083048,14581,2024
084001,4450,2024
085004,5102,2024
086009,1324,2024
087015,53619,2024
088009,5303,2024
089017,12290,2024
090064,9430,2024
091051,2169,2024
092009,16798,2024
093033,4623,2024
094023,1914,2024
095038,1677,2024
096004,5855,2024
097042,4889,2024
098031,4574,2024
099014,28283,2024
0IT108,73798,2024
0IT109,11565,2024
0IT110,27908,2024
0ITC11,292937,2024
0ITC12,10093,2024
0ITC13,11412,2024
0ITC14,8867,2024
0ITC15,28631,2024
0ITC16,31738,2024
0ITC17,13955,2024
0ITC18,32758,2024
0ITC20,7432,2024
0ITC31,21695,2024
0ITC32,25833,2024
0ITC33,88097,2024
0ITC34,17409,2024
0ITC41,74770,2024
0ITC42,41975,2024
0ITC43,21847,2024
0ITC44,8845,2024
0ITC45,526515,2024
0ITC46,85290,2024
0ITC47,101124,2024
0ITC48,50420,2024
0ITC49,15854,2024
0ITC4A,22784,2024
0ITC4B,28118,2024
0ITD10,39784,2024
0ITD20,35255,2024
0ITD31,88536,2024
0ITD32,63262,2024
0ITD33,10474,2024
0ITD34,46836,2024
0ITD35,96917,2024
0ITD36,80288,2024
0ITD37,16674,2024
0ITD41,16613,2024
0ITD42,34646,2024
0ITD43,9685,2024
0ITD44,22961,2024
0ITD51,22756,2024
0ITD52,43751,2024
0ITD53,47248,2024
0ITD54,69174,2024
0ITD55,142242,2024
0ITD56,32107,2024
0ITD57,34971,2024
0ITD58,31689,2024
0ITD59,46420,2024
0ITE11,15457,2024
0ITE12,32699,2024
0ITE13,22135,2024
0ITE14,154393,2024
0ITE15,29775,2024
0ITE16,35878,2024
0ITE17,41765,2024
0ITE18,24234,2024
0ITE19,17730,2024
0ITE1A,19598,2024
0ITE21,50492,2024
0ITE22,16870,2024
0ITE31,20391,2024
0ITE32,26668,2024
0ITE33,17219,2024
0ITE34,12743,2024
0ITE41,20764,2024
0ITE42,9645,2024
0ITE43,642292,2024
0ITE44,46765,2024
0ITE45,26438,2024
0ITF11,16864,2024
0ITF12,21291,2024
0ITF13,25458,2024
0ITF14,23640,2024
0ITF21,4750,2024
0ITF22,13621,2024
0ITF31,72098,2024
0ITF32,12689,2024
0ITF33,310460,2024
0ITF34,23248,2024
0ITF35,76868,2024
0ITF41,52814,2024
0ITF42,92986,2024
0ITF43,34058,2024
0ITF44,23634,2024
0ITF45,47611,2024
0ITF51,14543,2024
0ITF52,10733,2024
0ITF61,35270,2024
0ITF62,9657,2024
0ITF63,24174,2024
0ITF64,10014,2024
0ITF65,31268,2024
0ITG11,27103,2024
0ITG12,110092,2024
0ITG13,33855,2024
0ITG14,21368,2024
0ITG15,15432,2024
0ITG16,7449,2024
0ITG17,99135,2024
0ITG18,20061,2024
0ITG19,32513,2024
0ITG25,31166,2024
0ITG26,11967,2024
0ITG27,44368,2024
0ITG28,4896,2024
100005,25143,2024
101010,4096,2024
102047,2924,2024
103072,2687,2024
108033,14418,2024
109006,2721,2024
110001,5352,2024
110002,6208,2024
110009,5108,2024
