codice_istat,lat,lon
001001,45.365759,7.773365
001002,44.922323,7.490395
001003,45.310915,7.285102
001004,45.428964,7.943666
001006,45.117162,7.423740
001007,45.406928,7.581117
001008,45.105908,7.514458
001009,45.036263,7.865043
001010,45.551011,7.889731
001011,44.852102,7.191915
001012,45.033336,7.899094
001013,45.074813,7.392164
001014,45.425692,7.991442
001015,45.381605,7.753886
001016,45.282096,7.509805
001017,45.406035,7.742676
001018,45.073275,7.801687
001019,45.300440,7.187741
001020,45.462687,7.851628
001021,45.294952,7.627371
001022,45.093085,6.731717
001023,45.319056,7.863302
001024,45.015385,7.594576
001025,44.788009,7.277155
001026,44.776349,7.076252
001027,45.466503,7.944878
001028,45.144087,7.667400
001029,45.423770,7.659432
001030,45.517283,7.848391
001031,45.361309,7.979907
001032,45.122044,7.245322
001033,45.268986,7.766489
001034,45.171298,7.826529
001035,44.834121,7.293508
001036,45.517061,7.772243
001037,45.116687,8.072364
001038,45.013863,7.480825
001039,45.142695,8.065311
001040,45.157054,7.198605
001041,44.875035,7.423039
001042,45.480306,7.928238
001043,45.320931,7.661825
001044,45.123398,7.131141
001045,45.077618,7.436688
001046,45.240402,7.507133
001047,45.282562,7.877448
001048,44.964380,7.756857
001049,44.806477,7.322280
001050,45.329900,7.905641
001051,44.964244,7.584152
001052,45.380618,7.577715
001053,44.953675,7.336887
001054,45.355641,7.398670
001055,45.137568,7.338663
001056,45.403362,7.956859
001057,45.586842,7.827114
001058,44.882502,7.672343
001059,44.864001,7.707026
001060,45.131287,7.939653
001061,45.481623,7.908015
001062,45.106096,7.471208
001063,45.173039,7.651524
001064,45.161728,7.892237
001065,44.899689,7.568543
001066,45.422469,7.719728
001067,45.451971,7.681364
001068,45.109615,7.801857
001069,45.142689,8.027928
001070,44.793524,7.393302
001071,44.865233,7.510446
001072,45.320038,7.351647
001073,45.452034,7.180992
001074,44.938494,6.812929
001075,45.379410,7.342834
001076,45.165476,7.175870
001077,45.505720,7.898705
001078,45.006687,7.827299
001079,45.424525,7.644505
001080,45.110843,6.983997
001081,45.092188,7.317670
001082,45.208188,7.894365
001083,45.328888,7.762161
001084,45.441773,7.680192
001085,45.087169,7.920859
001086,45.223219,7.589018
001087,44.930060,6.757483
001088,45.326884,7.462417
001089,45.050644,7.235523
001090,45.095169,7.582886
001091,45.440006,7.669573
001092,45.431929,7.817174
001093,45.158460,7.276921
001094,45.325074,7.520513
001095,45.389841,8.000735
001096,45.362163,7.813236
001097,44.960531,7.385411
001098,45.396064,7.632512
001099,45.156041,7.568318
001100,45.106630,6.913203
001101,45.308755,7.679949
001102,45.293728,7.759024
001103,45.019792,7.056973
001104,45.213049,7.526237
001105,45.471967,7.835802
001106,45.269227,7.827845
001107,45.341689,7.578768
001108,45.466149,7.621210
001109,45.273154,7.657434
001110,44.939512,7.353439
001111,44.834285,7.366704
001112,45.113945,7.836159
001113,45.256411,7.450697
001114,45.144859,6.971942
001115,45.027519,7.304687
001116,45.160655,7.498389
001117,45.119038,7.029884
001118,45.359935,7.228456
001119,45.264439,7.565090
001120,45.058702,7.595637
001121,45.474819,7.585838
001122,44.931204,7.217148
001123,44.903153,7.908183
001124,45.448875,7.739329
001125,45.448622,7.891432
001126,45.173943,7.520115
001127,44.953204,7.682853
001128,45.278237,7.475345
001129,45.151639,7.995964
001130,45.193974,7.718766
001131,45.226780,7.276139
001132,45.479116,7.820792
001133,45.320525,7.602262
001134,45.434451,7.407703
001135,45.233807,7.734344
001136,44.841268,7.633496
001137,45.445913,7.808301
001139,44.812074,7.236248
001140,44.794806,7.243697
001141,45.307496,7.770923
001142,44.848458,7.413631
001143,45.347335,8.016314
001144,45.070524,7.879741
001145,44.966267,7.032358
001146,45.270864,7.543049
001147,45.099128,7.114718
001148,45.295138,7.945067
001149,45.100146,7.066174
001150,45.358366,7.868853
001152,45.279964,7.363625
001153,45.039039,7.916666
001154,45.168038,7.081908
001155,45.330200,7.433234
001156,44.971448,7.705215
001157,45.203322,6.982274
001158,45.065508,7.851974
001159,45.328644,7.833816
001160,45.495578,7.864899
001161,45.233677,7.851962
001162,45.159250,8.017073
001163,45.033199,7.933234
001164,44.984588,7.607646
001165,45.459894,7.300912
001166,45.247265,7.569680
001167,45.541334,7.860494
001168,44.939735,7.551809
001169,45.196823,7.023537
001170,45.305911,7.694322
001171,45.006451,7.568083
001172,45.322389,7.855081
001173,44.849478,7.344676
001174,44.876721,7.607362
001175,45.042040,6.806809
001176,45.345268,7.750850
001177,45.455862,7.975639
001178,44.826996,7.588517
001179,45.422782,7.796118
001180,45.078942,7.832621
001181,45.429599,7.849974
001183,45.019869,7.755050
001184,44.979839,7.184035
001185,45.409142,7.833370
001186,44.922936,7.119057
001187,45.353047,7.639356
001188,45.288762,7.423031
001189,45.113378,7.555896
001190,44.967881,7.246723
001191,44.897893,7.350837
001192,45.036544,7.776964
001193,44.922946,7.602026
001194,44.984190,7.458004
001195,44.920566,7.424382
001196,45.435566,8.005570
001197,44.898493,7.853346
001198,44.955365,7.175735
001199,45.442816,7.584032
001200,44.895125,7.263193
001201,44.973012,6.953078
001202,44.884177,7.038038
001203,44.856292,7.896064
001204,44.903337,7.185139
001205,44.870995,7.267359
001206,45.369734,7.618787
001207,45.362915,7.575446
001208,45.421671,7.780159
001209,45.521827,7.828539
001210,45.560498,7.783114
001211,45.053297,7.428909
001212,45.457175,7.468467
001213,45.118637,7.891532
001214,45.018861,7.513638
001215,44.976334,7.883358
001216,45.331953,7.624588
001217,45.296056,7.734475
001218,45.252636,7.696155
001219,45.062140,7.521436
001220,45.194343,7.571443
001221,45.313515,7.569278
001222,44.919733,7.341378
001223,45.405936,7.876658
001224,45.507546,7.499682
001225,45.248868,7.969981
001226,44.778986,7.183174
001227,45.008468,7.120011
001228,45.078432,7.461742
001229,45.158823,7.377609
001230,45.470804,7.742143
001231,45.360683,7.693090
001232,45.084394,6.880762
001233,45.461455,7.844461
001234,44.933706,7.031140
001235,45.450276,7.840095
001236,45.234492,7.773075
001237,45.251891,7.625154
001238,45.389238,7.608733
001239,45.134428,7.217243
001240,45.232440,7.663511
001241,45.025920,7.444044
001242,44.890172,7.235011
001243,45.143208,7.525870
001244,45.319329,7.803533
001245,45.094603,7.174619
001246,45.297012,7.806830
001247,45.396421,7.813252
001248,45.206068,7.637040
001249,45.103621,7.764870
001250,44.935522,7.290459
001251,45.347393,7.660816
001252,45.148115,7.856244
001253,45.156849,7.941305
001254,44.863522,7.297510
001255,45.092418,7.359884
001256,45.091703,7.269888
001257,44.944470,7.781196
001258,44.897902,6.930974
001259,45.019286,6.869704
001260,44.893991,7.488985
001261,45.375986,7.843195
001262,45.101335,7.884400
001263,44.957703,6.876377
001264,45.405465,7.989843
001265,45.145375,7.775048
001266,45.568586,7.863777
001267,45.406549,7.526741
001268,45.418675,7.770760
001269,45.380094,7.910690
001270,45.132205,7.083180
001271,45.548112,7.808766
001272,45.071689,7.674749
001273,45.220230,7.985388
001274,45.396993,7.756841
001275,44.824602,7.202465
001276,45.028732,7.403731
001278,45.530813,7.709759
001279,45.262774,7.422625
001280,44.976159,7.738691
001281,45.058255,6.997223
001282,45.238520,7.179555
001283,45.090258,7.291838
001284,45.150445,7.455372
001285,45.080830,7.332075
001286,45.228746,7.486365
001287,45.362995,7.657202
001288,45.555169,7.539188
001289,45.196051,7.468492
001290,45.279972,7.641333
001291,45.172078,6.990735
001292,45.140361,7.618036
001293,45.194745,7.974421
001294,45.163172,8.115954
001295,45.392212,7.933237
001296,45.372634,7.818595
001298,45.425488,7.746720
001299,44.838773,7.501993
001300,44.787516,7.492521
001301,45.241025,7.549258
001302,45.041827,7.473459
001303,45.117520,7.377065
001304,45.293346,7.963980
001305,45.085872,7.203810
001306,44.787101,7.132692
001307,44.914151,7.258581
001308,44.914648,7.729157
001309,44.956031,7.618862
001310,44.867263,7.576653
001311,45.349191,7.933080
001312,45.449919,7.748360
001313,45.233260,7.367433
001314,45.190805,7.780084
001315,44.953515,7.500986
001316,45.150230,7.703633
001317,45.467984,7.759223
001318,45.520632,7.718351
002002,45.836687,7.923975
