sigla_provincia,istruzione_literacy_bassa,istruzione_neet,istruzione_numeracy_bassa,istruzione_secondaria,istruzione_terziaria,lavoro_giovani_non_partec,lavoro_giovani_occupazione,politica_affluenza_regionale,politica_consigliere_donne,salute_speranza_vita,servizi_banda_larga
AG,53.4,23.7,62.9,61.0,25.4,47.5,20.1,0.0,37.2,82.0,76.0
AL,40.5,10.3,43.2,68.5,25.1,14.0,42.2,53.7,31.9,82.7,62.3
AN,32.3,11.3,33.4,73.8,34.4,22.3,35.0,0.0,39.5,84.5,78.8
AO,35.5,10.3,36.3,63.3,30.0,13.7,42.8,0.0,38.2,82.9,56.8
AP,31.6,8.0,32.8,75.9,41.4,12.7,37.6,0.0,35.4,84.1,76.1
AQ,35.0,18.5,39.5,71.8,30.9,25.1,37.6,55.4,28.1,83.5,76.4
AR,34.5,10.0,36.2,64.4,32.7,14.9,39.6,0.0,36.9,84.2,48.3
AT,41.9,8.4,47.0,65.1,23.7,11.5,44.9,55.6,32.1,83.2,61.3
AV,37.3,15.5,45.6,70.0,26.3,39.6,25.7,0.0,25.1,82.5,59.4
BA,39.4,12.3,46.1,65.3,30.4,23.1,33.0,0.0,35.0,83.7,90.0
BG,34.3,8.4,34.8,58.9,25.1,9.2,44.4,0.0,35.6,84.0,63.8
BI,36.9,9.5,38.6,62.5,34.4,14.2,44.0,58.2,37.8,83.1,64.2
BL,29.3,8.9,28.1,70.9,28.3,12.5,43.5,0.0,33.4,83.3,52.0
BN,40.2,18.5,45.0,62.4,18.9,45.7,19.9,0.0,22.2,82.3,50.9
BO,35.8,9.1,36.4,80.1,48.8,19.1,38.1,51.7,41.2,84.3,73.7
BR,44.7,22.1,52.1,55.0,18.5,38.3,30.9,0.0,35.0,82.9,59.4
BS,38.8,8.5,39.1,60.0,24.5,7.1,49.1,0.0,35.0,84.5,70.8
BT,38.5,23.3,45.9,44.8,20.7,36.0,31.1,0.0,33.9,83.8,84.9
