sigla_provincia,istruzione_literacy_bassa,istruzione_neet,istruzione_numeracy_bassa,istruzione_secondaria,istruzione_terziaria,lavoro_giovani_non_partec,lavoro_giovani_occupazione,politica_affluenza_regionale,politica_consigliere_donne,salute_speranza_vita,servizi_banda_larga
BZ,51.3,8.0,46.2,69.5,25.3,7.4,48.9,0.0,27.1,84.6,0.0
CA,45.0,17.5,54.8,65.8,27.5,44.3,25.9,0.0,41.8,83.7,85.7
CB,38.7,19.8,44.4,67.5,32.9,37.8,25.6,0.0,27.3,82.7,86.2
CE,48.2,24.1,58.5,56.1,25.1,49.5,20.3,0.0,29.8,81.5,66.1
CH,36.7,15.6,41.7,72.4,32.0,30.3,26.8,48.5,29.8,83.3,72.2
CL,56.5,30.3,66.6,50.3,21.2,57.8,19.0,0.0,37.3,81.9,84.4
CN,33.9,8.5,35.6,63.1,20.3,12.4,46.4,58.8,31.4,83.6,53.4
CO,30.1,10.0,32.6,71.4,33.8,15.9,41.4,0.0,34.4,84.4,60.6
CR,38.3,12.2,41.5,68.7,23.7,12.4,42.7,0.0,34.9,83.6,67.4
CS,49.2,20.4,58.8,64.5,31.2,45.0,19.8,0.0,29.4,82.2,57.0
CT,49.8,24.6,61.5,58.3,22.6,45.4,25.0,0.0,34.2,82.4,83.8
CZ,46.9,24.6,57.4,61.7,27.9,53.2,22.9,0.0,27.3,82.9,74.7
EN,53.9,19.9,61.0,55.0,32.1,43.6,24.0,0.0,41.2,82.7,71.6
FC,37.7,10.9,37.8,65.3,27.2,11.3,39.5,45.5,39.0,84.6,61.8
FE,43.7,9.1,44.1,65.9,30.5,13.6,41.0,43.1,38.4,83.3,69.7
FG,47.3,27.6,57.5,49.9,15.8,41.1,27.1,0.0,29.1,82.7,70.2
FI,37.3,12.4,36.2,73.8,43.2,14.7,40.3,0.0,39.8,84.7,74.9
FM,35.9,11.9,38.7,61.3,28.1,17.9,40.5,0.0,29.8,84.0,73.3
FR,38.9,15.9,48.8,74.7,27.3,28.7,25.1,0.0,27.0,82.8,49.4
GE,40.8,9.2,43.3,74.8,32.2,19.7,36.9,48.3,33.4,83.7,79.7
GO,43.3,15.6,45.3,73.5,27.3,16.2,42.1,0.0,40.0,84.0,59.8
GR,40.3,9.4,42.5,64.3,21.6,19.4,45.9,0.0,36.7,83.1,70.3
IM,45.4,15.2,46.1,62.5,20.1,19.2,41.9,38.1,29.7,83.2,44.0
IS,39.4,16.6,51.0,72.9,23.6,37.5,22.5,0.0,26.7,82.2,81.9
KR,57.9,30.1,71.9,50.6,20.2,54.9,20.1,0.0,31.1,82.4,62.0
LC,29.5,7.2,26.8,70.4,34.6,13.4,40.5,0.0,32.4,84.9,46.1
LE,35.4,20.0,40.9,58.5,28.2,36.8,30.1,0.0,32.8,83.2,49.9
LI,41.8,11.2,44.2,69.1,29.2,16.8,40.5,0.0,38.8,83.7,49.6
LO,36.6,13.8,39.4,60.2,21.1,15.1,38.2,0.0,35.0,83.7,59.0
LT,43.3,21.8,52.4,57.3,22.4,29.3,31.1,0.0,31.9,82.8,52.0
LU,39.0,12.8,41.8,69.0,25.9,21.5,38.2,0.0,36.9,83.7,52.2
MB,31.1,7.6,32.3,73.5,37.0,12.8,38.3,0.0,36.3,84.8,69.8
MC,31.6,9.4,34.2,68.5,36.1,11.2,39.4,0.0,37.9,84.0,71.3
ME,45.9,25.2,56.0,54.6,21.5,48.8,26.3,0.0,38.6,82.2,78.5
MI,34.4,10.6,34.7,77.1,45.5,16.1,40.6,0.0,39.2,84.7,85.5
MN,37.6,11.4,38.4,63.0,21.9,14.0,46.1,0.0,39.1,83.4,69.2
MO,38.8,9.0,38.7,68.2,35.8,13.5,44.6,47.2,39.8,84.2,67.8
MS,40.0,11.6,43.8,71.7,33.1,21.8,47.5,0.0,38.5,83.8,68.3
MT,42.9,21.1,51.4,65.7,23.5,34.5,26.0,54.1,30.9,83.6,75.7
NA,50.0,28.6,60.1,55.3,25.0,51.3,21.9,0.0,32.0,81.4,80.1
NO,39.9,16.1,42.8,62.3,27.3,23.6,37.7,57.1,33.4,83.7,66.0
NU,51.0,20.4,59.3,49.7,24.7,39.5,29.0,0.0,36.1,82.9,45.4
OR,47.0,18.1,56.6,51.7,26.9,30.7,36.0,0.0,35.3,82.8,39.7
PA,54.9,28.9,64.8,56.2,26.5,54.1,17.8,0.0,40.4,82.4,91.2
PC,41.1,10.5,40.8,68.3,32.3,15.9,49.1,41.5,37.6,83.8,73.5
PD,33.4,6.1,32.5,72.3,41.1,10.8,46.7,0.0,37.2,84.4,70.4
PE,35.0,17.0,40.7,75.3,35.6,30.3,28.3,53.3,27.7,83.5,85.9
PG,32.6,9.9,36.5,75.6,36.7,17.3,35.9,53.0,35.6,84.3,68.9
PI,36.5,11.3,37.7,69.5,31.5,12.4,38.9,0.0,41.4,84.0,56.3
PN,34.4,9.1,35.5,70.1,24.4,11.3,38.8,0.0,43.0,84.5,52.4
PO,49.2,7.4,40.4,49.7,22.7,8.5,46.8,0.0,38.3,84.5,86.4
PR,39.1,10.9,41.1,69.9,30.8,14.5,43.9,42.7,40.7,84.3,70.5
PT,37.4,10.6,37.2,60.1,26.1,17.7,38.5,0.0,37.3,84.4,43.1
PU,32.8,11.5,34.9,68.2,27.8,17.5,42.9,0.0,37.8,84.4,64.9
PV,38.4,12.7,40.3,67.4,25.3,15.1,37.1,0.0,34.3,82.6,51.1
PZ,38.2,14.7,49.6,66.1,28.8,34.9,28.4,47.9,29.3,82.9,67.5
RA,36.4,11.0,35.5,70.2,40.3,15.8,44.6,49.7,39.9,84.4,69.3
RC,50.5,32.7,61.0,60.0,18.6,71.7,14.6,0.0,28.0,82.4,56.3
RE,37.6,9.1,38.7,71.8,28.9,18.7,38.9,45.4,39.1,84.3,70.6
RG,54.9,15.4,61.4,53.1,24.0,21.4,38.1,0.0,38.3,83.1,78.1
RI,39.6,12.0,47.4,73.9,23.9,21.0,38.1,0.0,29.8,82.6,68.1
RM,36.9,14.3,42.4,77.9,39.5,24.5,31.9,0.0,35.7,83.6,84.3
RN,35.6,7.4,37.9,72.4,35.7,10.3,43.6,40.7,36.1,84.6,64.2
RO,36.8,12.8,38.7,59.0,27.3,16.1,43.5,0.0,38.7,83.2,63.0
SA,44.8,19.1,54.0,64.0,28.7,36.8,25.7,0.0,26.6,82.6,69.6
SI,32.3,9.2,31.5,67.7,32.6,12.6,39.6,0.0,40.7,84.5,57.4
SO,28.3,10.1,24.4,67.3,22.9,22.9,40.0,0.0,30.9,83.1,56.8
SP,39.3,16.6,46.7,74.1,26.3,21.8,39.1,47.2,33.5,83.6,56.6
SR,52.2,29.4,63.2,55.9,15.2,45.1,27.9,0.0,33.2,81.5,65.5
SS,49.0,14.5,59.0,55.7,26.3,31.3,29.5,0.0,34.6,82.8,57.3
SU,47.9,21.4,57.1,52.9,20.1,48.0,23.0,0.0,34.2,82.7,42.9
SV,42.4,16.5,42.5,66.4,28.1,26.8,32.5,43.8,34.9,83.8,53.8
TA,44.1,34.6,52.1,53.5,25.3,69.8,13.8,0.0,33.8,82.8,74.4
TE,36.7,18.2,41.5,66.1,33.1,35.0,29.0,53.0,33.9,83.5,55.2
TN,35.0,7.3,32.7,77.2,33.3,10.4,46.1,0.0,32.0,84.7,83.4
TO,37.4,8.6,39.7,70.8,36.4,16.7,38.2,54.3,35.7,83.8,82.9
TP,53.9,26.7,62.4,53.8,21.7,48.4,23.1,0.0,37.3,82.4,72.1
TR,29.9,10.7,33.0,76.6,30.7,16.4,35.0,50.5,31.5,83.4,66.6
TS,34.4,12.3,33.9,77.0,45.9,15.9,40.1,0.0,33.1,82.9,92.0
TV,33.5,10.3,33.2,68.0,29.2,11.5,42.5,0.0,39.9,84.9,58.5
UD,34.0,9.5,33.7,77.4,38.4,14.5,38.5,0.0,39.8,84.0,60.2
VA,32.1,12.3,34.0,69.2,35.2,16.9,39.9,0.0,34.3,84.2,57.1
VB,34.5,16.9,40.9,60.1,27.4,17.2,40.9,52.8,30.7,83.2,41.6
VC,44.1,12.1,50.4,62.7,24.1,23.6,41.9,55.5,33.6,82.5,64.5
VE,36.7,10.4,36.0,68.2,32.1,21.7,34.8,0.0,36.1,84.0,67.3
VI,32.5,7.1,30.8,70.3,31.6,10.4,43.8,0.0,37.2,84.6,60.4
VR,35.1,10.2,34.9,71.5,38.8,17.4,39.3,0.0,34.7,84.6,70.4
VT,38.2,14.3,43.4,70.6,25.5,19.7,37.4,0.0,33.9,82.4,57.7
VV,53.9,27.6,64.8,63.9,23.5,64.9,15.8,0.0,29.6,83.3,58.1
