regione,istruzione_neet,istruzione_secondaria,istruzione_terziaria,lavoro_non_partecipazione,lavoro_tasso_occupazione,politica_affluenza,salute_speranza_vita,servizi_banda_larga
Abruzzo,17.2,71.5,32.8,12.6,66.8,47.1,83.4,72.6
Basilicata,17.0,66.0,26.9,19.6,60.4,42.8,83.0,70.4
Calabria,26.2,61.5,25.5,30.6,48.5,40.3,82.3,60.6
Campania,24.9,58.5,25.6,29.6,49.4,44.0,81.7,72.7
Emilia-Romagna,9.6,71.6,36.4,7.3,75.6,59.0,84.0,69.7
Friuli-Venezia Giulia,10.6,74.9,34.8,6.9,75.1,48.3,83.8,65.0
Lazio,15.2,75.1,35.3,11.2,69.0,46.6,83.3,76.8
Liguria,12.4,71.5,28.9,9.5,72.2,50.6,83.5,66.9
Lombardia,10.1,69.4,34.4,6.7,74.8,55.3,84.1,70.6
Marche,10.6,70.3,33.5,8.9,72.2,54.6,84.2,73.0
Molise,19.0,68.9,30.7,16.9,62.1,48.0,82.5,85.0
Piemonte,9.8,67.5,30.7,8.4,74.3,56.6,83.4,71.6
Puglia,21.4,56.9,24.6,21.4,55.3,43.6,83.1,73.0
Sardegna,17.8,56.8,25.3,18.9,61.7,36.9,82.8,58.7
Sicilia,25.7,56.1,23.4,29.0,50.7,38.0,82.1,81.0
Toscana,11.0,67.6,32.6,7.5,76.1,59.1,84.0,62.2
Trentino-Alto Adige,7.666666666666667,73.36666666666666,29.299999999999997,4.366666666666667,78.4,47.1,84.66666666666667,55.6
Umbria,10.1,75.9,35.3,8.2,73.4,60.8,83.9,68.2
Valle d'Aosta,10.3,63.3,30.0,6.5,77.6,42.5,82.9,56.8
Veneto,9.0,69.7,34.4,5.7,75.6,52.6,84.2,64.9
